rnum,segment,bad,column_1,column_2,column_3,column_4,column_5,column_6
1,a,1,0.983914098,0.891796587,0.664922136,0.876763344,x,female
2,a,1,0.375090574,0.972409726,0.011581025,0.089343707,y,female
3,a,1,0.226084864,0.631708312,0.220076909,0.140077252,z,male
4,a,1,0.210779604,0.648671322,0.886311225,0.175638344,x,male
5,a,1,0.949453544,0.985754335,0.664700007,0.353774299,y,male
6,a,1,0.667820617,0.21618151,0.460376229,0.891393317,z,male
7,a,0,0.986448088,0.289959938,0.862132758,0.311371256,x,male
8,a,0,0.735276254,0.868830232,0.855828479,0.938412932,y,female
9,a,0,0.710541113,0.821102102,0.096365829,0.246178996,z,female
10,a,0,0.761656043,0.643572109,0.111793645,0.354127404,x,female
11,a,0,0.215597747,,0.212993663,0.531488798,y,
12,a,0,0.592613954,,0.713651844,0.767474546,z,female
13,a,0,0.008105027,,0.150258014,0.870249414,x,female
14,a,0,0.587372269,0.160111693,0.80931909,0.896853482,y,female
15,a,0,0.58919995,0.246308667,0.291929415,0.791301313,z,female
16,a,0,0.805270436,0.011306276,0.36605617,0.429819734,x,female
17,a,0,0.96444664,0.314283434,0.83851503,0.379608845,y,
18,a,0,0.339529577,0.764273524,0.310257626,0.915855625,z,female
19,a,0,0.459178184,0.065558257,0.178597655,0.676841584,x,male
20,a,0,0.267338809,,0.756469758,0.702041345,y,male
21,a,0,0.866446332,0.221467118,0.249341459,0.65773868,z,male
22,a,0,0.946451319,0.310843315,0.210955929,0.399513191,x,male
23,a,1,0.108206309,0.662079054,0.992079327,0.879591976,y,male
24,a,1,0.661590923,0.281140952,0.733345207,0.797266406,z,male
25,b,1,0.644288678,0.159461279,0.508603544,0.865354632,x,female
26,b,1,0.246560018,0.280801094,0.943139209,0.180220464,x,female
27,b,1,0.966117073,0.211450677,0.05172749,0.065627049,y,male
28,b,1,0.503642769,0.969084534,0.178895727,0.037988837,z,male
29,b,0,0.284237544,0.367078881,0.818982006,0.312400499,x,male
30,b,0,0.513445403,0.712018849,0.527033989,0.038929479,y,male
31,b,0,0.259662399,0.333795121,0.597344905,0.061262275,z,
32,b,0,0.827151691,0.236560576,0.119932959,0.692496092,x,male
33,b,0,0.315169194,0.45530385,0.551986165,0.374508373,y,male
34,b,0,0.864712036,,0.010686847,0.432059995,z,female
35,b,0,0.873102227,,0.788230851,0.929709349,x,female
36,b,0,0.667024883,,0.547773435,0.144303386,y,male
37,b,0,0.702304401,0.293647765,0.743038612,0.704816942,z,male
38,c,0,0.262540818,0.108722806,0.449511152,0.093924077,x,male
39,c,0,0.665431701,0.224180159,0.173598517,0.322681378,y,female
40,c,0,0.515155755,0.866553323,0.153753557,0.122968663,z,female
41,c,0,0.132022077,0.557666459,0.436164813,0.253767627,x,
42,c,0,0.98036381,0.138900369,0.024587108,0.758036299,y,female
43,c,0,0.469221179,,0.378859923,0.609777237,z,female
44,c,0,0.541325362,0.667316677,0.309181878,0.333222117,x,male
45,c,1,0.627851517,0.01114706,0.295558936,0.715776875,y,female
46,c,1,0.129553448,0.071159923,0.29314408,0.800386037,z,female
47,c,1,0.277687893,0.706579653,0.812648125,0.455584901,x,
48,c,0,0.405631626,0.036963432,0.902953672,0.472586357,y,male
49,c,0,0.404908445,0.046870895,0.586012164,0.383754907,z,male
